# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.800535e+02,2.263439e-02,-7.449829e-01,1.151314e-01,2.472796e-01,2.467696e+00,1.038613e+00,5.490241e+00
8.801966e+02,2.244932e-02,-6.320858e-01,9.444159e-01,2.472320e-01,2.485861e+00,1.050783e+00,5.465384e+00
8.793585e+02,2.244567e-02,6.162354e-01,1.366023e-01,2.470566e-01,2.498311e+00,1.044134e+00,5.429770e+00
8.802122e+02,2.230420e-02,-2.327100e+00,1.228394e+00,2.471596e-01,2.510636e+00,1.055794e+00,5.359647e+00
8.794553e+02,2.226742e-02,-1.861194e+00,7.994030e-03,2.469932e-01,2.539458e+00,1.046288e+00,5.250125e+00
8.788976e+02,2.226859e-02,-2.807334e-01,-1.153350e-01,2.468847e-01,2.539474e+00,1.046070e+00,5.283548e+00
8.790434e+02,2.235858e-02,1.549891e+00,1.064312e+00,2.469607e-01,2.492397e+00,1.054721e+00,5.500864e+00
8.785117e+02,2.251018e-02,-4.357301e-01,-9.784409e-01,2.468997e-01,2.511953e+00,1.032396e+00,5.331931e+00
8.788671e+02,2.232720e-02,1.009368e-01,2.814447e+00,2.469076e-01,2.465734e+00,1.070777e+00,5.588587e+00
8.791852e+02,2.216328e-02,1.133789e+00,3.752575e-01,2.469001e-01,2.543115e+00,1.053517e+00,5.323345e+00
8.798822e+02,2.242366e-02,2.106885e+00,3.808293e-01,2.471605e-01,2.494321e+00,1.047798e+00,5.488348e+00
8.804325e+02,2.243817e-02,-5.768485e-01,5.250960e-01,2.472729e-01,2.497799e+00,1.047240e+00,5.428679e+00
8.785707e+02,2.239820e-02,-1.683672e-02,1.877136e+00,2.468740e-01,2.469460e+00,1.059841e+00,5.547352e+00
8.796357e+02,2.241182e-02,1.822055e+00,7.925074e-01,2.471081e-01,2.490849e+00,1.051381e+00,5.512058e+00
8.787757e+02,2.225936e-02,-1.522199e+00,-1.605056e+00,2.468502e-01,2.569892e+00,1.032769e+00,5.125498e+00
8.796848e+02,2.216065e-02,1.027581e+00,1.403470e+00,2.470035e-01,2.525939e+00,1.062801e+00,5.409141e+00
8.793213e+02,2.216977e-02,-1.018316e+00,-3.408966e-01,2.469174e-01,2.563705e+00,1.046214e+00,5.193892e+00
8.783015e+02,2.205468e-02,1.024724e-01,1.071551e-01,2.466706e-01,2.575926e+00,1.053622e+00,5.200402e+00
8.799570e+02,2.233554e-02,-2.426190e-01,-1.279254e+00,2.471320e-01,2.548995e+00,1.034503e+00,5.228967e+00
8.790370e+02,2.228748e-02,-9.580116e-01,5.262020e-01,2.469210e-01,2.521821e+00,1.050324e+00,5.337486e+00
8.790797e+02,2.223400e-02,-9.831019e-01,-6.513743e-01,2.469044e-01,2.555279e+00,1.041638e+00,5.211125e+00
8.787581e+02,2.185666e-02,2.764144e-01,1.001696e-01,2.466805e-01,2.611566e+00,1.058594e+00,5.104436e+00
8.790074e+02,2.211290e-02,9.955393e-01,-2.840990e-01,2.468383e-01,2.569073e+00,1.049126e+00,5.232734e+00
